years,datetime,city,state,shape,duration (seconds),comments,latitude,longitude 
1998,06 July 1998,framingham,ma,other,300,IT WAS NOT A CRAFT  IT WAS A HUGH LIGHT.  20 FEET FROM MY WINDOW.  YELLOW GREEN IN COLOR&#44 NOT ILLUMINATING . WHEN IT WENT &#39OFF&#39  THREE,42.2791667,-71.4166667
1998,06 July 1998,los angeles,ca,triangle,30,Expanding pencile share very long and thin.,34.0522222,-118.2427778
1998,07 July 1998,marty,sd,egg,120,Amber egg-shaped craft&#44ascended at slow speed.,42.9925,-98.4247222
1998,07 July 1998,massillon,oh,formation,420,Object moved through sky slowly,40.7966667,-81.5216667
1998,07 July 1998,livermore,ca,other,240,A star-like object inscribed rectangles in the sky and then vanished&#33.,37.6819444,-121.7669444
1998,07 July 1998,hull,ga,oval,300,small&#44 luminous&#44 silent&#44  gliding craft,34.0147222,-83.2938889
1998,07 July 1998,denver (above),co,sphere,21600,Strange object&#44 stranger events that followed on seeing the object in the Mountains above Denver,39.7391667,-104.9841667
1998,07 July 1998,danville,pa,sphere,900,I witnessed a reddish ball hover for about 10 minutes after witnessing it streak across the sky like a shooting star.  Then it appeared,40.9633333,-76.6130556
1998,08 July 1998,dickson city,pa,chevron,50,2 chevron UFOs head directly toward each other&#44 then do a &#8220;loop-de-loop&#8221; around one another&#44 and continue on their original headings.,41.4713889,-75.6080556
1998,08 July 1998,lenoir city,tn,other,60,I was riding in a boat and noticed a very bright pair of lights at about 30 degrees above the horizon I turned to ask my wife if she sa,35.7972222,-84.2561111
1998,08 July 1998,casa grande,az,triangle,180,Triangle Shaped Object Over I-10 Near Casa Grande,32.8794444,-111.7566667
1998,08 July 1998,casa grande,az,triangle,300,Triangle Shaped Object Over I-10 Near Casa Grande.,32.8794444,-111.7566667
1998,09 July 1998,longmont (approx 8 miles south of&#44 co-i25 interchg),co,light,1,In an instant I saw a red &quot;glowing&quot; light streak across 2/3 of the entire western skyline&#44 Western sky above Boulder foothills&#44  taking,40.1672222,-105.1013889
1998,09 July 1998,fallon,nv,light,180,There were 4 this time &#44 My neighbors ran over to my house beating on the door &#44 I ran outside and everyone was pointing up.They were m,39.4736111,-118.7763889
1998,10 July 1998,miami,fl,light,3600,Object was not moving&#44but flashing different colors(blue&#44red&#44white and maybe yellow&#441 object was seen.It lasted for aprox one hour unti,25.7738889,-80.1938889
1998,10 July 1998,gonzales,la,triangle,120,Silent triangle shaped ufo up close and personal,30.2383333,-90.92
1998,11 July 1998,fullerton (from&#44 spotted 20 deg. abovew horizon),ca,changing,300,My UFO skeptic Mom and level headed brother observed a very large boomerang shaped object. It traveled west to east&#44 stopped&#44 changed s,33.8702778,-117.9244444
1998,11 July 1998,sweetwater,tx,changing,1800,It was weird and we didn,32.4708333,-100.4055556
1998,11 July 1998,isle of palms,sc,cone,720,We were looking towards the city of Charleston from the Isle of Palms when we noticed an extremely bight orange object moving slowly ac,32.7866667,-79.795
1998,11 July 1998,chandler,az,fireball,2,Brief what appeared to be a shooting star&#44 Bright green in color&#44 and very close&#44 and very brief.,33.3061111,-111.8405556
1998,11 July 1998,wanaque,nj,fireball,2,My girlfriend saw an object fall to the ground it was bright and about half the size of a full moon.,41.0380556,-74.2944444
1998,11 July 1998,cleveland,ga,light,60,We were driving alone Hwy 129 towards Cleveland when we saw a green ball of light come down from the northeastern part of the sky&#44 and,34.5969444,-83.7633333
1998,12 July 1998,plano,tx,circle,0.5,On tape&#44 I have cicular objects moving across screen to fast to be an airplane.  Defenatly not a weather ballon.,33.0197222,-96.6986111
1998,12 July 1998,medina,oh,fireball,10,Red/Orange fire ball&#44 Baseball size with sparks&#44 smoke&#44 and trail.,41.1383333,-81.8638889
1998,01 August 1998,petoskey,mi,light,12,Blueish-Green &quot;light&quot; appears &amp; then accellerates in another direction.,45.3733333,-84.9552778
1998,01 August 1998,fairbanks,ak,oval,3,A large phlorescent green oval shaped object moving at a strange speed desending on the horizon ended in a large flash,64.8377778,-147.7163889
1998,02 August 1998,moundsville,wv,light,20,Bright&#44 slow-moving&#44 star-like light,39.9202778,-80.7433333
1998,03 August 1998,columbus,ga,changing,300,I saw a redish&amp;orange ball of light moveing up&amp;down on a vertical path&#44no sound at  all.,32.4608333,-84.9877778
